trial_id,payload_kg,capture_success,transfer_success,average_speed,max_decision_time,average_frame_processing_time,max_frame_processing_time,final_box_error,average_hand_target_error,max_hand_target_error
1,0.6412660218314743,1,1,0.5,0.0033341170001222054,2.6292218830479277e-06,1.3937999028712511e-05,0.023575730138203726,0.00881381437715939,0.3079042772316822
2,1.1755789068433506,1,1,0.5,0.0014753329996892717,2.618100790478483e-06,9.563998901285231e-06,0.0202112041221591,0.010976778060004234,0.2758683228061039
3,1.1651212982409966,1,1,0.5,0.001543769998534117,2.6331210578246195e-06,1.1853000614792109e-05,0.031828162663801784,0.011592050000647783,0.27908271742475077
4,1.4474965986830972,1,1,0.5,0.0015267819999280619,2.5726575692027433e-06,9.821998901315965e-06,0.01817183168869315,0.008596072985369678,0.2720035871713705
5,1.6675752456106427,1,1,0.5,0.0014345239997055614,2.595452232232981e-06,8.233000698965043e-06,0.029281597871562058,0.010833816504097458,0.26740923790940674
6,1.524573429863682,1,1,0.5,0.00251991200093471,2.887785884838442e-06,6.200099960551597e-05,0.014550744113070118,0.0084798518334495,0.27127893311696155
7,1.2043337169137118,1,1,0.5,0.0018378539989498677,2.6692950684834723e-06,1.8852000721381046e-05,0.02890012236919016,0.011467914106711849,0.2908651000713683
8,1.5047209920237656,1,1,0.5,0.003077430001212633,2.7134115236238877e-06,1.998799962166231e-05,0.025476323298178557,0.01151435719805728,0.27326848632207673
9,1.7483897020928016,1,1,0.5,0.0017399690004822332,2.7025313185475173e-06,1.3917000615037978e-05,0.035928609320530415,0.011189856911662861,0.2720920977528725
10,0.7096287254139647,1,1,0.5,0.00166474800062133,2.657254358413932e-06,1.1033000191673636e-05,0.019151997621351315,0.00881596031868048,0.2909947772399146
11,1.5577480679395026,1,1,0.5,0.001565020998896216,2.680125691830622e-06,1.0615000064717606e-05,0.02110205946636131,0.011541874660618916,0.28682813783189326
12,0.6717951103039601,1,1,0.5,0.0016116810002131388,2.657319897082033e-06,1.0058998668682761e-05,0.02485133711225948,0.008769143670809207,0.2850698578417875
13,1.4520774800008862,1,1,0.5,0.0020817250006075483,2.6282057412975433e-06,9.67800042417366e-06,0.014351819138631983,0.008257298966177112,0.2732366570538946
14,1.1550760838485434,1,1,0.5,0.002435530999719049,2.614595450464221e-06,1.055999928212259e-05,0.014805310973771909,0.008587107215100222,0.27885562343016934
15,0.587454112533599,1,1,0.5,0.0015278829996532295,2.6756082153050383e-06,9.983999916585162e-06,0.0325297610556391,0.011548702917172091,0.28696193764608974
16,1.6758473136596201,1,1,0.5,0.0022797150013502687,2.625532532797581e-06,1.1874999472638592e-05,0.029954480734513587,0.008615605477727394,0.270094712788486
17,0.5340681097007907,1,1,0.5,0.0015290819992515026,2.6311837253067738e-06,9.735000276123174e-06,0.020682977792601615,0.009087256897041247,0.29319252623517994
18,1.2515671626550453,1,1,0.5,0.001556196999445092,2.650118454557042e-06,9.969000529963523e-06,0.01628837672366837,0.00884162996086258,0.2899694296615766
19,0.9522681337218148,1,1,0.5,0.001613558999451925,2.638557225317994e-06,1.101300040318165e-05,0.01864122894143907,0.009150974947248645,0.2876304720924918
20,1.9428464968242718,1,1,0.5,0.0019498559995554388,2.7344020243881924e-06,1.458100086892955e-05,0.03319942821327765,0.011111713171253364,0.2717849463284691
