trial_id,payload_kg,capture_success,transfer_success,average_speed,max_decision_time,final_box_error
1,1.2391146488681772,1,1,0.5,0.00015183300274657086,0.0
2,1.2366428246104768,1,1,0.5,0.00021964299958199263,0.0
3,0.6225497962530686,1,1,0.5,6.831800419604406e-05,0.0
4,1.0554969072068503,1,1,0.5,6.090399983804673e-05,0.0
5,0.9607576218799458,1,1,0.5,5.828199937241152e-05,0.0
6,1.6554174495678193,1,1,0.5,6.031700468156487e-05,0.0
7,0.9705599275541996,1,1,0.5,7.221200212370604e-05,0.0
8,0.5929728528924642,1,1,0.5,0.00014280000323196873,0.0
9,1.2388402774813911,1,1,0.5,0.0002080549966194667,0.0
10,0.7060070373726617,1,1,0.5,0.00017159800336230546,0.0
11,1.936690880045306,1,1,0.5,8.436299685854465e-05,0.0
12,0.6650294280717557,1,1,0.5,0.00013342499732971191,0.0
13,1.9949254228813456,1,1,0.5,0.00020282300101825967,0.0
14,1.4110610013566942,1,1,0.5,6.09479975537397e-05,0.0
15,0.5138650287007471,1,1,0.5,0.00020724199566757306,0.0
16,1.01149126949444,1,1,0.5,8.904899732442573e-05,0.0
17,1.8260598657564298,1,1,0.5,7.555499905720353e-05,0.0
18,1.3380226487805036,1,1,0.5,5.9819998568855226e-05,0.0
19,1.551433501479063,1,1,0.5,5.724899529013783e-05,0.0
20,1.9386711064097129,1,1,0.5,0.0006358730024658144,0.0
21,1.905737706766539,1,1,0.5,0.00020220399892423302,0.0
22,1.7304392212168405,1,1,0.5,8.387800335185602e-05,0.0
23,0.8075704580202061,1,1,0.5,0.00018224700033897534,0.0
24,0.6951560186831529,1,1,0.5,0.00019458599854260683,0.0
25,0.5838425665548395,1,1,0.5,0.00017794200539356098,0.0
26,0.9030053310521486,1,1,0.5,0.00016086699906736612,0.0
27,1.3873098395340389,1,1,0.5,5.9450998378451914e-05,0.0
28,1.364940842360892,1,1,0.5,9.681099618319422e-05,0.0
29,1.834007512035752,1,1,0.5,0.00015110399544937536,0.0
30,1.6723098981437101,1,1,0.5,5.4645999625790864e-05,0.0
31,0.6786265978587984,1,1,0.5,0.00010076799662783742,0.0
32,1.581422500611256,1,1,0.5,7.82289935159497e-05,0.0
33,1.2871847247631456,1,1,0.5,6.37500052107498e-05,0.0
34,1.028916462138635,1,1,0.5,5.783400411019102e-05,0.0
35,1.7945455631084912,1,1,0.5,5.868099833605811e-05,0.0
36,0.8793732560302524,1,1,0.5,0.00012037700071232393,0.0
37,1.4784107449078727,1,1,0.5,5.750200216425583e-05,0.0
38,1.623020265113978,1,1,0.5,9.732599573908374e-05,0.0
39,0.674675512274964,1,1,0.5,0.00023551400227006525,0.0
40,1.0900870415014596,1,1,0.5,7.090800500009209e-05,0.0
41,0.7626136357593667,1,1,0.5,6.77700008964166e-05,0.0
42,0.9081785419880593,1,1,0.5,0.00015928100037854165,0.0
43,1.180516428236266,1,1,0.5,0.0001399850007146597,0.0
44,0.8420592729251088,1,1,0.5,5.8582998462952673e-05,0.0
45,0.6634196344607872,1,1,0.5,6.48360000923276e-05,0.0
46,1.5233133774093983,1,1,0.5,0.00012197800242574885,0.0
47,1.1642662235199939,1,1,0.5,0.00015103499754332006,0.0
48,1.5985988273613627,1,1,0.5,0.0002029879979090765,0.0
49,1.0574482136417762,1,1,0.5,0.00036665700463345274,0.0
50,1.3323763797448294,1,1,0.5,6.154199945740402e-05,0.0
